campaign,kind,tag,m_parent,dm,comparison_status,limit_status,historical_only,reference_fb,limit_fb,residual,reported_raw_mu,reported_model_mu,sample_status,bracket_width_over_reported,linear_interpolation_match,first_interval,sr_s_imt2h_events,n_detector_events,detector_exposure_complete,signal_stat_nuisance_present
pdf_rescan,expected,m125_dm2,125.0,2.0,matched,legacy_reported,True,168.04,132.96789845632426,-0.20871281566100763,0.4327415022818336,0.3983334070068288,sampled_bracket,0.08012931846199252,True,False,54.0,20000,True,False
pdf_rescan,expected,m125_dm5,125.0,5.0,matched,legacy_reported,True,80.829,77.03361072078111,-0.04695578665106437,0.25070442427466416,0.2307704413522455,sampled_bracket,0.20223017661808249,True,False,149.0,20000,True,False
pdf_rescan,expected,m125_dm10,125.0,10.0,matched,legacy_reported,True,80.844,71.23315329923552,-0.11888138514626279,0.23182694566770598,0.21339394677162887,sampled_bracket,0.2122272708993966,True,False,208.0,20000,True,False
pdf_rescan,expected,m125_dm20,125.0,20.0,matched,legacy_reported,True,195.14999999999998,148.24489719334784,-0.2403541009820761,0.48246020476992896,0.44409888142888615,sampled_bracket,0.1341555587632418,True,False,106.0,20000,True,False
pdf_rescan,expected,m125_dm30,125.0,30.0,matched,legacy_reported,True,450.15,260.4895441854621,-0.42132723717547016,0.8477582784129915,0.7803514143613648,sampled_bracket,0.22146360398299966,True,False,63.0,20000,True,False
pdf_rescan,expected,m125_dm40,125.0,40.0,matched,legacy_reported,True,552.63,377.6921865070011,-0.3165550431445975,1.2291920537710537,1.131456668848606,sampled_bracket,0.3253356534262827,True,False,54.0,20000,True,False
pdf_rescan,expected,m150_dm2,150.0,2.0,matched,legacy_reported,True,126.6,103.09875753871624,-0.18563382670840245,0.6481555390731986,0.5917310152077521,sampled_bracket,0.09111077793285341,True,False,54.0,20000,True,False
pdf_rescan,expected,m150_dm5,150.0,5.0,matched,legacy_reported,True,50.94,53.67680698482717,0.05372608921922195,0.33745236700756354,0.3080757930406174,sampled_bracket,0.2095792746512021,True,False,200.0,20000,True,False
pdf_rescan,expected,m150_dm10,150.0,10.0,matched,legacy_reported,True,56.526,54.7237291039115,-0.03188392768086368,0.344034098802032,0.3140845588410839,sampled_bracket,0.20556980413581807,True,False,233.0,20000,True,False
pdf_rescan,expected,m150_dm20,150.0,20.0,matched,legacy_reported,True,139.16,125.41189269498365,-0.09879352763018356,0.7884325170978139,0.7197963230125304,sampled_bracket,0.17864058313069214,True,False,130.0,20000,True,False
pdf_rescan,expected,m150_dm25p7,150.0,25.700000000000003,matched,legacy_reported,True,174.35,154.6896133317171,-0.11276390403374181,0.9724940640569062,0.8878345784574365,sampled_bracket,0.13311077310215957,True,False,109.0,20000,True,False
pdf_rescan,expected,m150_dm30,150.0,30.0,matched,legacy_reported,True,277.72,226.8745101919372,-0.1830818443326474,1.4263020618866515,1.3021367807485231,sampled_bracket,0.28037539220200625,True,False,74.0,20000,True,False
pdf_rescan,expected,m150_dm40,150.0,40.0,matched,legacy_reported,True,455.66,380.56255538316407,-0.16481026339120386,2.39249952302112,2.184222900672408,sampled_bracket,0.1674817470784768,True,False,48.0,20000,True,False
pdf_rescan,expected,m175_dm2,175.0,2.0,matched,legacy_reported,True,102.28,110.22472754070488,0.07767625675307865,1.220937394571146,1.10777338076151,sampled_bracket,0.32753522152580555,True,False,55.0,20000,True,False
pdf_rescan,expected,m175_dm5,175.0,5.0,matched,legacy_reported,True,49.037,42.47838984907988,-0.13374819321981601,0.47052467976172,0.42691354818766203,sampled_bracket,0.1375586045448569,True,False,229.0,20000,True,False
pdf_rescan,expected,m175_dm10,175.0,10.0,matched,legacy_reported,True,40.709,46.500226125738436,0.14225911041141837,0.5150737606673802,0.46733354530144977,sampled_bracket,0.06870225969635124,True,False,265.0,20000,True,False
pdf_rescan,expected,m175_dm20,175.0,20.0,matched,legacy_reported,True,89.132,88.30877843139939,-0.009235982235343276,0.9781787831226594,0.887515135818723,sampled_bracket,0.1323371953444256,True,False,159.0,20000,True,False
pdf_rescan,expected,m175_dm30,175.0,30.0,matched,legacy_reported,True,212.5,177.2092605421313,-0.16607406803702918,1.962911750272089,1.780976973433748,sampled_bracket,0.20347323303996584,True,False,103.0,20000,True,False
pdf_rescan,expected,m175_dm40,175.0,40.0,matched,legacy_reported,True,332.21,272.25745118192503,-0.18046581625500424,3.0157416626490194,2.7362241110728553,sampled_bracket,0.2652415523209538,True,False,65.0,20000,True,False
